,GAME_DATE_EST,GAME_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,NAME_HOME,COACH_HOME,NAME_AWAY,COACH_AWAY
43,3/7/2022,22100528,2021,1610612743,131,0.548,0.707,0.313,39,41,1610612744,124,0.511,0.739,0.425,29,41,1,Nuggets,Michael Malone,Warriors,Steve Kerr
44,3/7/2022,22100974,2021,1610612758,115,0.488,0.722,0.344,23,40,1610612752,131,0.511,0.826,0.429,19,47,0,Kings,Luke Walton,Knicks,David Fizdale
45,3/6/2022,22100960,2021,1610612738,126,0.482,0.763,0.472,25,37,1610612751,120,0.506,0.9,0.444,24,45,1,Celtics,Brad Stevens,Nets,Kenny Atkinson
46,3/6/2022,22100961,2021,1610612749,132,0.54,0.793,0.469,31,48,1610612756,122,0.538,0.727,0.452,33,27,1,Bucks,Mike Budenholzer,Suns,Monty Williams
47,3/6/2022,22100963,2021,1610612764,133,0.523,0.813,0.405,33,36,1610612754,123,0.518,0.862,0.323,28,42,1,Wizards,Scott Brooks,Pacers,Nate McMillan
48,3/6/2022,22100964,2021,1610612745,123,0.524,0.667,0.382,23,45,1610612763,112,0.454,0.704,0.192,27,40,1,Rockets,Mike D'Antoni,Grizzlies,Taylor Jenkins
49,3/6/2022,22100965,2021,1610612760,103,0.424,0.895,0.2,20,47,1610612762,116,0.449,0.765,0.442,27,48,0,Thunder,Billy Donovan,Jazz,Quin Snyder
50,3/6/2022,22100962,2021,1610612739,104,0.459,0.652,0.306,24,58,1610612761,96,0.394,0.615,0.25,17,45,1,Cavaliers,John Beilein,Raptors,Nick Nurse
51,3/6/2022,22100967,2021,1610612743,138,0.54,0.791,0.303,32,47,1610612740,130,0.475,0.69,0.424,30,49,1,Nuggets,Michael Malone,Pelicans,Alvin Gentry
52,3/6/2022,22100966,2021,1610612746,93,0.375,0.727,0.324,17,43,1610612752,116,0.472,0.633,0.448,19,57,0,Clippers,Doc Rivers,Knicks,David Fizdale
53,3/5/2022,22100954,2021,1610612742,114,0.476,0.741,0.389,22,39,1610612758,113,0.489,0.667,0.36,24,45,1,Mavericks,Rick Carlisle,Kings,Luke Walton
54,3/5/2022,22100955,2021,1610612766,123,0.462,0.793,0.381,29,50,1610612759,117,0.459,0.8,0.297,28,51,1,Hornets,James Borrego,Spurs,Gregg Popovich
55,3/5/2022,22100956,2021,1610612748,99,0.486,0.842,0.464,20,38,1610612755,82,0.341,0.826,0.171,13,41,1,Heat,Erik Spoelstra,76ers,Brett Brown
56,3/5/2022,22100957,2021,1610612763,124,0.5,0.667,0.412,25,55,1610612753,96,0.43,0.688,0.314,25,41,1,Grizzlies,Taylor Jenkins,Magic,Steve Clifford
57,3/5/2022,22100958,2021,1610612750,135,0.565,0.828,0.405,36,42,1610612757,121,0.471,0.833,0.421,24,41,1,Timberwolves,Ryan Saunders,Trail Blazers,Terry Stotts
58,3/5/2022,22100959,2021,1610612747,124,0.494,0.857,0.439,25,47,1610612744,116,0.5,0.474,0.441,22,41,1,Lakers,Frank Vogel,Warriors,Steve Kerr
59,3/4/2022,22100946,2021,1610612765,111,0.447,0.667,0.5,28,52,1610612754,106,0.39,0.643,0.25,24,55,1,Pistons,Dwane Casey,Pacers,Nate McMillan
60,3/4/2022,22100947,2021,1610612755,125,0.547,0.906,0.424,23,30,1610612739,119,0.537,0.875,0.357,30,41,1,76ers,Brett Brown,Cavaliers,John Beilein
61,3/4/2022,22100948,2021,1610612764,114,0.541,0.889,0.483,37,41,1610612737,117,0.418,0.824,0.361,18,39,0,Wizards,Scott Brooks,Hawks,Lloyd Pierce
62,3/4/2022,22100458,2021,1610612761,97,0.398,0.647,0.324,22,54,1610612753,103,0.379,0.952,0.297,24,55,0,Raptors,Nick Nurse,Magic,Steve Clifford
63,3/4/2022,22100949,2021,1610612741,112,0.5,0.727,0.385,25,40,1610612749,118,0.489,0.667,0.323,20,50,0,Bulls,Jim Boylen,Bucks,Mike Budenholzer
64,3/4/2022,22100950,2021,1610612740,124,0.515,0.765,0.306,29,52,1610612762,90,0.348,0.654,0.268,15,52,1,Pelicans,Alvin Gentry,Jazz,Quin Snyder
65,3/4/2022,22100951,2021,1610612760,101,0.43,0.857,0.257,19,39,1610612750,138,0.538,0.783,0.468,35,41,0,Thunder,Billy Donovan,Timberwolves,Ryan Saunders
66,3/4/2022,22100952,2021,1610612743,116,0.453,0.806,0.394,27,41,1610612745,101,0.458,0.682,0.278,25,44,1,Nuggets,Michael Malone,Rockets,Mike D'Antoni
67,3/4/2022,22100953,2021,1610612756,115,0.447,0.815,0.5,28,33,1610612752,114,0.465,0.7,0.448,23,49,1,Suns,Monty Williams,Knicks,David Fizdale
68,3/3/2022,22100710,2021,1610612737,130,0.524,0.857,0.45,26,33,1610612741,124,0.591,0.857,0.538,30,32,1,Hawks,Lloyd Pierce,Bulls,Jim Boylen
69,3/3/2022,22100940,2021,1610612738,120,0.517,0.8,0.432,33,51,1610612763,107,0.424,0.769,0.325,24,44,1,Celtics,Brad Stevens,Grizzlies,Taylor Jenkins
70,3/3/2022,22100941,2021,1610612751,107,0.47,0.773,0.387,24,30,1610612748,113,0.519,0.821,0.333,27,35,0,Nets,Kenny Atkinson,Heat,Erik Spoelstra
71,3/3/2022,22100942,2021,1610612761,106,0.434,0.75,0.269,12,41,1610612765,108,0.452,0.75,0.297,25,42,0,Raptors,Nick Nurse,Pistons,Dwane Casey
72,3/3/2022,22100943,2021,1610612742,122,0.529,0.75,0.459,29,32,1610612744,113,0.543,0.769,0.5,26,37,1,Mavericks,Rick Carlisle,Warriors,Steve Kerr
73,3/3/2022,22100944,2021,1610612759,112,0.495,0.5,0.375,28,40,1610612758,115,0.459,0.844,0.313,26,49,0,Spurs,Gregg Popovich,Kings,Luke Walton
74,3/3/2022,22100945,2021,1610612746,132,0.548,0.867,0.63,32,46,1610612747,111,0.488,0.773,0.343,26,36,1,Clippers,Doc Rivers,Lakers,Frank Vogel
75,3/2/2022,22100932,2021,1610612739,98,0.468,0.667,0.323,21,37,1610612766,119,0.506,0.727,0.447,32,45,0,Cavaliers,John Beilein,Hornets,James Borrego
76,3/2/2022,22100933,2021,1610612753,114,0.454,0.8,0.313,22,52,1610612754,122,0.436,0.8,0.324,23,54,0,Magic,Steve Clifford,Pacers,Nate McMillan
77,3/2/2022,22100934,2021,1610612755,123,0.52,0.848,0.472,24,43,1610612752,108,0.429,0.688,0.286,20,40,1,76ers,Brett Brown,Knicks,David Fizdale
