logiProb,poisProb,Obs,model
0.344233397,0.32967436,1,M6
0.574250511,0.60633766,0,M6
0.369268771,0.430390422,0,M6
0.837395515,0.814143237,1,M6
0.648755011,0.584935592,0,M6
0.633478348,0.616916987,1,M6
0.804648327,0.729769946,1,M6
0.526209492,0.559066326,1,M6
0.624959813,0.560935963,1,M6
0.589651039,0.554797246,0,M6
0.346040917,0.332242127,1,M6
0.695291136,0.642198704,1,M6
0.584238628,0.577342264,1,M6
0.57489438,0.607677249,0,M6
0.696291127,0.617479187,0,M6
0.372806797,0.431215812,0,M6
0.61433774,0.624199566,1,M6
0.343327899,0.332392825,1,M6
0.546339279,0.539645707,0,M6
0.59234675,0.55616277,0,M6
0.586717681,0.578351605,0,M6
0.369513283,0.430913242,1,M6
0.694578649,0.617844313,1,M6
0.543051939,0.538598228,1,M6
0.569065702,0.606440736,1,M6
0.614943124,0.624375751,0,M6
0.633467833,0.647601668,1,M6
0.837804619,0.811508594,1,M6
0.804015164,0.729796877,1,M6
0.63201501,0.615294874,1,M6
0.695154569,0.643935425,1,M6
0.521821767,0.55889528,1,M6
0.625175744,0.558061808,0,M6
0.64883497,0.585418345,1,M6
0.630994392,0.646257402,1,M6
0.693053043,0.645457624,1,M6
0.804599875,0.729321274,0,M6
0.835740186,0.810641825,1,M6
0.626892282,0.556767973,0,M6
0.647385804,0.584468679,1,M6
0.519837265,0.559877308,1,M6
0.631163083,0.615177453,1,M6
0.539740504,0.573650382,0,M6
0.540025103,0.573661566,0,M6
0.540157828,0.574291178,1,M6
0.690683802,0.577723532,1,M6
0.689056572,0.578505381,1,M6
0.563143309,0.57597324,1,M6
0.50358521,0.528594856,0,M6
0.662591668,0.605854841,1,M6
0.720227818,0.672062866,1,M6
0.563955202,0.57739053,1,M6
0.501949662,0.5282973,1,M6
0.563258889,0.577649765,1,M6
0.501760316,0.527075335,0,M6
0.662967283,0.605316937,1,M6
0.72113129,0.672840425,0,M6
0.662638501,0.604713411,0,M6
0.721158103,0.672452915,1,M6
0.731242511,0.670454991,1,M6
0.678126302,0.633965098,0,M6
0.55258768,0.545583316,1,M6
